,pais,variedad,precio
61144,Argentina,Cabernet Sauvignon,230.0
8170,Armenia,Kangoun,14.0
56953,Australia,Shiraz,850.0
26404,Austria,Rosenmuskateller,150.0
16467,Bosnia and Herzegovina,Vranec,13.0
34202,Brazil,Merlot-Cabernet Sauvignon,45.0
47136,Bulgaria,Red Blend,55.0
12140,Canada,Bordeaux-style Red Blend,120.0
47148,Chile,Red Blend,400.0
21228,Croatia,Plavac Mali,65.0
45270,Cyprus,Xynisteri,21.0
7272,Czech Republic,Red Blend,45.0
27356,England,Pinot Noir,80.0
15840,France,Bordeaux-style Red Blend,2500.0
29544,Georgia,Saperavi,40.0
347,Germany,Riesling,775.0
2115,Greece,Red Blend,79.0
49326,Hungary,Furmint,764.0
6673,India,Shiraz,20.0
60264,Israel,Bordeaux-style Red Blend,100.0
44994,Italy,Nebbiolo,595.0
4896,Lebanon,Red Blend,75.0
48450,Luxembourg,Sparkling Blend,30.0
38503,Macedonia,Vranec,20.0
26295,Mexico,Red Blend,58.0
38920,Moldova,White Blend,42.0
61474,Morocco,Syrah-Grenache,40.0
710,New Zealand,Pinot Noir,120.0
37948,Peru,Red Blend,68.0
36531,Portugal,Port,1000.0
44933,Romania,Merlot,100.0
29284,Serbia,Red Blend,40.0
22687,Slovakia,Riesling,16.0
37243,Slovenia,Merlot-Cabernet Franc,60.0
9912,South Africa,Bordeaux-style Red Blend,330.0
15846,Spain,Carignan,770.0
21791,Switzerland,Pinot Noir,160.0
53157,Turkey,Merlot,120.0
51978,US,Syrah,750.0
19530,Ukraine,Sparkling Blend,10.0
38811,Uruguay,Tannat,120.0
